user_id,trips_per_month,ratio_stay_time_in_home,trip_length,rg_time,rg_quantity,shopping,recreation,restaurant,ratio_of_uninterested_trips,rg4/rg_quantity,k_quantity,random_entropy,location_entropy,OD_entropy,sequence_entropy,distance_from_home_entropy,speed_std_mean,speed_mean_std,speed_std_max,acceleration_std_max,harsh_shift_ratio_std,harsh_steering_ratio_std,harsh_shift_ratio_mean,harsh_steering_ratio_mean,speed_mean,speed_max,over_speed_ratio,over_speed_quantity,junction_over_speed,junction_speed_mean,day_entropy,datetime_entropy
258,27,0.571009003,2.961780222,3.332303684,5.708069586,0.000877785,0.034304848,0.145104621,0.053140097,0.166907569,8,3.754045038,2.185192056,3.699848791,1.930636245,1.846823212,4.861562507,2.271216768,8.195977173,1.745407171,0.019995798,0.034534188,0.047605529,0.08174762,8.055376363,19.2918609,0.011943178,24,0.620856102,9.502085234,3.161728223,5.102382144
259,17.10743802,0.453295232,8.582215876,12.1910959,12.69052742,0.0007914,0.017604785,0.046370174,0.326086957,0.083380445,5,4.270508932,3.462236716,4.794399129,3.023454065,2.838217991,3.962134669,2.449047448,7.257621979,1.482067652,0.014621069,0.051804189,0.023326397,0.049287295,7.389810462,16.56911203,0.003738804,14.05797101,0.293139976,6.332824813,3.776784444,5.009197284
260,48.20512821,0.358721947,1.437546199,1.304334071,1.717954555,0.000472861,0.033973331,0.224650937,0.109042553,0.395590618,12,4.70422255,3.245819784,5.228664681,2.702824128,1.788995236,3.644645904,1.5314933,6.622639638,3.724257792,0.018211933,0.025596105,0.029253968,0.03692129,6.494220762,15.15035483,0.001487429,1.97606383,0.310129383,5.513761557,3.451263086,5.539320417
261,32.72727273,0.585987341,3.165713532,3.259425625,3.568508821,0.000696408,0.025615598,0.053102616,0.075757576,0.610566758,2,3.4120088,1.646310376,2.787474694,1.303978725,1.4491266,4.026222874,1.267179977,6.356810051,3.053969324,0.012307863,0.041608474,0.020943914,0.09410009,6.561668023,17.10575087,0.000578614,0.984848485,0.273224904,6.04556603,1.669999777,3.95886143
262,66.2755102,0.469601234,6.952857745,6.830991444,6.869097957,0.003816299,0.007120676,0.054734346,0.145496536,0.8470598,2,5.667733336,4.062719401,6.362147647,3.263537923,2.897024281,5.086210307,3.045702796,9.432451951,2.886482245,0.019423542,0.032986992,0.034172853,0.045645977,9.849723467,20.85946801,0.02396656,28.45727483,0.448580138,8.255245751,4.122076494,6.402612066
263,23.59832636,0.141731095,8.704416739,8.18402766,8.084413487,0.001095787,0.02461025,0.115288292,0.313829787,0.619663368,2,5.186318135,4.674541205,5.982514048,3.974721923,3.700360964,5.78342587,2.230403066,9.608124149,1.516500048,0.017199215,0.029604262,0.029070563,0.085308829,12.02084117,25.95330288,0.054425531,83.05851064,0.701686646,11.03543775,1.425362888,3.606895608
264,64.69135802,0.400383115,2.371535861,1.743962951,2.668639101,0.003924048,0.039774719,0.008866454,0.101145038,0.26534215,15,5.108700774,3.415980796,5.717966054,2.887117693,2.292675747,4.300587575,1.847763626,8.349971245,2.625156014,0.017972488,0.032235021,0.029685538,0.065536197,7.515002406,17.49750404,0.005872967,5.177480916,0.235698444,4.572524911,4.223385663,6.515547058
265,29.33920705,0.684389861,2.89969912,3.041048771,3.493533172,0.003978052,0.022680659,0.137034497,0.121621622,0.47958239,5,4.046042995,2.300716303,3.877065838,2.007846955,1.915979884,4.630869021,2.296076967,7.008109168,2.713723589,0.0326125,0.046068977,0.060585514,0.082526582,8.121728635,18.65271989,0.000888249,0.626126126,0.348748834,6.782064515,2.852351855,4.826533308
266,14.52488688,0.605502835,9.573231144,8.294070125,8.32317039,0.000857242,0.017314282,0.056506329,0.401869159,0.734635568,2,4.202887956,3.404627132,4.615257464,3.124871852,2.825964548,6.156117194,3.768358165,9.929287506,1.605844934,0.025907828,0.077442072,0.042004841,0.061325595,10.49312101,23.61801183,0.093044118,92.34579439,0.370688425,7.236755535,3.313266275,4.665531208
267,8.734177215,0.192485025,4.565930653,10.65672253,12.32651437,0.003030596,0.022866727,0.172682935,0.391304348,1.018528649,2,3.347372328,3.038198855,3.759680021,2.741604228,2.480760198,5.068446322,2.839543452,7.796708222,1.51914533,0.019107283,0.043427164,0.012412044,0.041957258,7.606592284,19.03381352,0.008846671,2.333333333,0.29186179,6.082075575,2.999575768,3.779684775
268,69.21161826,0.468546695,2.27016608,3.53495184,2.509974657,0.007091281,0.017852502,0.172381589,0.09352518,0.413954925,12,5.234395537,3.324275921,5.673284013,2.797979407,2.100648672,4.246539899,1.983593823,7.578892112,2.669965688,0.017883451,0.030713473,0.033389451,0.04889372,7.646074457,18.28108954,0.006730895,6.534172662,0.259226079,6.359045076,3.716506579,6.175279867
269,48.42323651,0.308585087,10.38780594,9.225238867,11.46426761,0.004244946,0.016826289,0.106887441,0.203084833,0.754827231,3,5.470034639,4.246131245,6.178838476,3.606255279,3.473042606,5.30547965,2.672929536,8.746626756,1.833034199,0.01618064,0.036096427,0.028983362,0.058081435,9.446367953,22.13954596,0.031406313,59.01285347,0.276912908,6.446680055,3.896766238,5.986639402
270,20.56034483,0.376362581,10.72118676,8.418191542,11.47907637,0.008646642,0.029433214,0.134983816,0.459119497,0.396403428,8,5.144533534,4.555449748,5.651979155,4.065978858,3.725057359,4.978810628,3.204344481,10.61632056,1.918740269,0.023376764,0.041534553,0.030314748,0.066794268,8.283740195,19.82402415,0.030451293,47.00628931,0.319591408,6.335819293,3.596851189,5.216647883
271,40.16528926,0.68992319,4.255478265,2.706698186,3.922505358,0.002061754,0.037155677,0.034998302,0.179012346,0.614276609,3,4.991727439,3.348138032,5.345793096,2.906342078,2.410319408,4.701865925,1.805063018,6.450819256,2.660012364,0.014907465,0.032413613,0.03352876,0.042102143,8.81712436,20.28618672,0.001962339,4.268518519,0.362819855,7.157452619,2.834784304,4.917380731
272,65.4950495,0.350444092,12.36735383,14.50877766,15.09309375,0.010754897,0.042587042,0.112693896,0.315192744,0.88090865,2,6.490460991,5.402871668,7.325795468,4.38776522,3.81755367,5.162267412,4.30800174,9.670005982,5.199705136,0.055640525,0.109087839,0.04324188,0.071132916,9.339187259,22.49537844,0.062912044,173.4852608,0.304262981,6.40700075,3.930120281,6.270276075
273,25.125,0.442909042,6.519759426,9.153792001,8.463777213,0.010338656,0.033172405,0.088626181,0.194029851,0.350137778,11,4.69084344,3.685167001,5.349230755,3.113110475,2.692739792,3.681536985,2.082199294,8.579385066,2.236351771,0.014608341,0.03951831,0.020023889,0.071418923,6.458171615,15.20644393,0.005510245,16.58208955,0.233189298,5.580846474,3.434420221,5.331944352
274,95.95041322,0.360032688,5.461961917,6.900184161,6.126157864,0.004591722,0.032148997,0.163512657,0.15245478,0.643731529,3,5.891301144,3.681467339,5.961494614,2.991401771,2.747045253,4.672673038,2.775929785,9.057970408,1.055209075,0.011887456,0.042218057,0.009431904,0.053107018,8.947862792,18.18644177,0.011575942,3.182170543,0.248422656,5.217596134,3.971737787,6.338144142
275,40.78512397,0.262904231,5.175740717,10.22602099,6.398460663,0.035405369,0.019585856,0.164173975,0.182370821,0.327742607,16,4.813827083,3.307002392,5.339842022,2.829682511,2.60933836,3.997043217,2.228139052,9.427711029,5.682487357,0.028595679,0.032159143,0.05445028,0.050816276,7.606462637,19.14976216,0.008497224,23.2674772,0.339439926,7.030292454,3.702296745,5.795040499
