userid,checkin_time,lat,lon,speed,direction,acceleration
20,2019-07-16 18:58:54,22.568712,113.895108,0.0,227.070748744454,0.4448863221844279
20,2019-07-16 18:58:59,22.568645,113.89503,2.22443161092214,236.1405451551284,0.0441845234604929
20,2019-07-16 18:59:04,22.568588,113.89493799999998,2.445354228224605,228.6561055192068,0.2517408089064467
20,2019-07-16 18:59:09,22.56851,113.894842,3.704058272756838,225.79317206097,0.1534797694489563
20,2019-07-16 18:59:14,22.56836,113.894675,4.471457120001619,229.54234600663133,-0.1262669716073892
20,2019-07-16 18:59:24,22.568108,113.894355,3.2087874039277264,239.33075521178995,-0.2028955264875477
20,2019-07-16 18:59:29,22.568085,113.89431299999998,2.194309771489988,272.53831034517344,0.3354003956684772
20,2019-07-16 18:59:34,22.568092,113.894142,3.871311749832374,249.5138778918109,-0.011542155469197
20,2019-07-16 18:59:39,22.568023,113.893942,3.813600972486389,236.79110582547585,-0.0060775207319683
20,2019-07-16 18:59:44,22.567942,113.893808,3.783213368826547,239.7332257168309,0.1347921368612626
20,2019-07-16 18:59:49,22.567845,113.893628,4.45717405313286,271.78682881582137,0.1859763092795885
20,2019-07-16 18:59:54,22.567852,113.893385,5.387055599530803,281.0215978951727,0.0214462018153275
20,2019-07-16 18:59:59,22.567902,113.893107,5.494286608607441,270.7328474502674,-0.0089486846780085
20,2019-07-16 19:00:04,22.567905,113.892853,5.449543185217398,282.3075127614353,0.0106536147885702
20,2019-07-16 19:00:09,22.56796,113.89258,5.502811259160249,282.9299631981454,-0.074010219765215
20,2019-07-16 19:00:14,22.568013,113.89233,5.132760160334174,295.777164824696,0.1551035062779432
20,2019-07-16 19:00:19,22.568112,113.892108,5.90827769172389,304.96541657419624,0.3941579776796111
20,2019-07-16 19:00:24,22.568287,113.891837,7.879067580121945,321.4505771851011,0.4502517507739844
20,2019-07-16 19:00:29,22.568608,113.89156,10.130326333991867,315.34346430172906,0.3680815786568921
20,2019-07-16 19:00:34,22.568965,113.891178,11.970734227276328,318.8347032890681,0.0582966802338646
20,2019-07-16 19:00:39,22.569398,113.890768,12.26221762844565,318.31173800641034,-0.1839692119610418
20,2019-07-16 19:00:44,22.569792,113.890388,11.34237156864044,314.9138013096734,-0.0524455473502442
20,2019-07-16 19:00:49,22.57014,113.89001,11.08014383188922,314.3460216444844,0.0005524781300191
20,2019-07-16 19:00:54,22.570492,113.88962,11.082906222539316,315.70402293075443,-0.1527292496389716
20,2019-07-16 19:00:59,22.570845,113.889247,10.319259974344458,317.36990629096607,-0.3890321901177088
20,2019-07-16 19:01:04,22.571165,113.888928,8.374099023755914,312.3985142819265,-0.2786423828800103
20,2019-07-16 19:01:09,22.57138,113.888673,6.980887109355862,309.587589364497,0.0559859301723491
20,2019-07-16 19:01:14,22.571577,113.888415,7.260816760217608,311.96205686068635,0.1497587228430685
20,2019-07-16 19:01:19,22.571807,113.88813799999998,8.00961037443295,309.2022663399558,0.1705899771929914
20,2019-07-16 19:01:24,22.572045000000006,113.887822,8.862560260397908,311.72817453769414,0.239714284929283
20,2019-07-16 19:01:29,22.572325,113.887482,10.061131685044325,319.04074082013005,0.014388225648755
20,2019-07-16 19:01:34,22.572692,113.887137,10.1330728132881,317.3722884176755,-0.1519023534488251
20,2019-07-16 19:01:39,22.573005,113.886825,9.373561046043973,317.9325622936084,-0.1631688793688734
20,2019-07-16 19:01:44,22.573315,113.886522,8.557716649199605,312.869322066198,-0.1223662657855268
20,2019-07-16 19:01:49,22.573555,113.886242,7.945885320271971,315.4554129755111,0.033033429555892
20,2019-07-16 19:01:54,22.573813,113.885967,8.111052468051431,315.4825144916064,-0.001586094997355
20,2019-07-16 19:01:59,22.574075,113.885688,8.103121993064656,315.3442777733149,0.1994259596475338
20,2019-07-16 19:02:04,22.574332,113.885413,9.100251791302323,313.19754058195053,0.3106369537359071
20,2019-07-16 19:02:09,22.574645,113.885052,10.65343655998186,310.12751017667136,0.1945000805791562
20,2019-07-16 19:02:14,22.574968,113.884637,11.625936962877642,313.3542162312364,0.0427133872517639
20,2019-07-16 19:02:19,22.575342000000006,113.884208,11.839503899136462,315.0387954375319,-0.0567186746862262
20,2019-07-16 19:02:24,22.57571,113.88381,11.55591052570533,314.36053793513645,0.0086793782917471
20,2019-07-16 19:02:29,22.576073,113.883408,11.599307417164066,314.4615491557698,0.0240934379875454
20,2019-07-16 19:02:34,22.57644,113.883003,11.719774607101794,314.2735999678415,-0.1731305719683042
20,2019-07-16 19:02:39,22.57681,113.882592,10.854121747260272,315.2775799390505,-0.367539264061919
20,2019-07-16 19:02:44,22.577127,113.882252,9.016425426950676,315.46978026073134,0.0123898828700948
20,2019-07-16 19:02:49,22.577387,113.881975,9.078374841301152,315.64679068063447,0.2618081307894542
20,2019-07-16 19:02:54,22.57771,113.881633,10.387415495248424,315.99279737048005,0.1029453439790295
20,2019-07-16 19:02:59,22.578057,113.88127,10.90214221514357,317.12596196230953,0.1195727698419354
20,2019-07-16 19:03:04,22.578422,113.880903,11.500006064353247,317.1371403032845,0.1143372558035398
20,2019-07-16 19:03:09,22.578815,113.880508,12.071692343370946,316.716300165649,0.0556643871667471
20,2019-07-16 19:03:14,22.579215,113.8801,12.350014279204682,316.93599020216976,0.0221664583100121
20,2019-07-16 19:03:19,22.579625,113.879685,12.460846570754743,316.3791571473178,0.0340535922002107
20,2019-07-16 19:03:24,22.58003,113.879267,12.631114531755795,313.91091888595633,0.2012224185351311
20,2019-07-16 19:03:29,22.58043,113.878817,13.637226624431452,316.5649785303328,0.1983274154548681
