userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon
20,2019-04-24 16:23:00,2019-04-24 18:05:51,22.532917,114.063818,0 days 01:42:51,2,-1,22.532917,114.063818
20,2019-04-24 19:00:02,2019-04-25 11:38:04,22.570952,113.863965,0 days 16:38:02,3,1,22.570867200000006,113.8639100727273
20,2019-04-25 11:45:44,2019-04-25 12:29:45,22.571017,113.864033,0 days 00:44:01,3,1,22.570867200000006,113.8639100727273
20,2019-04-25 13:07:01,2019-04-25 14:12:00,22.531422,113.909452,0 days 01:04:59,3,4,22.531471999999997,113.90933166666667
20,2019-04-25 14:36:18,2019-04-25 14:58:49,22.619757,113.854453,0 days 00:22:31,3,5,22.619715499999998,113.85443625
20,2019-04-25 15:32:33,2019-04-25 21:59:06,22.568802,113.895125,0 days 06:26:33,3,0,22.56868187804879,113.8951422764228
20,2019-04-25 22:11:30,2019-04-26 13:55:36,22.570892,113.863847,0 days 15:44:06,4,1,22.570867200000006,113.8639100727273
20,2019-04-26 14:16:41,2019-04-26 20:12:41,22.568967,113.894968,0 days 05:56:00,4,0,22.56868187804879,113.8951422764228
20,2019-04-26 20:28:23,2019-04-30 13:10:48,22.570855,113.86392,3 days 16:42:25,1,1,22.570867200000006,113.8639100727273
20,2019-04-30 13:22:12,2019-04-30 21:11:21,22.569038,113.895102,0 days 07:49:09,1,0,22.56868187804879,113.8951422764228
20,2019-04-30 21:19:53,2019-04-30 21:55:37,22.554368,113.883678,0 days 00:35:44,1,6,22.554392333333336,113.88368200000001
20,2019-04-30 22:13:38,2019-05-05 13:46:03,22.570998,113.863783,4 days 15:32:25,6,1,22.570867200000006,113.8639100727273
20,2019-05-05 14:01:50,2019-05-06 00:25:29,22.568843,113.895055,0 days 10:23:39,0,0,22.56868187804879,113.8951422764228
20,2019-05-06 00:37:41,2019-05-06 08:24:43,22.570697,113.86393,0 days 07:47:02,0,1,22.570867200000006,113.8639100727273
