userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon,speed_mean,speed_std,speed_max,acceleration_std,harsh_acceleration,harsh_breaking,harsh_steering,harsh_acceleration_ratio,harsh_breaking_ratio,harsh_steering_ratio,over_speed,over_speed_ratio,junction_over_speed,junction_speed_mean,fatigue_driving
20,2019-04-01 22:42:05,2019-04-02 19:09:30,22.570792,113.86387,0 days 20:27:25,1,1,22.57086720000001,113.8639100727273,8.202465352613972,4.06808499983886,14.717161454545172,0.3785301775792629,1,0,2,0.008130081300813,0.0,0.016260162601626,0,0.0,0.6666666666666666,7.647017541895683,0
20,2019-04-04 10:06:36,2019-04-05 12:48:48,22.568837,113.895127,1 days 02:42:12,4,0,22.56868187804879,113.8951422764228,5.371959928907511,3.5109070157462425,12.341445676266275,0.358691589374605,0,0,6,0.0,0.0,0.037037037037037,0,0.0,0.5,8.716021226471224,0
20,2019-04-05 13:07:24,2019-04-05 21:31:50,22.569043,113.895008,0 days 08:24:26,4,0,22.56868187804879,113.8951422764228,7.718364728110741,5.194145175420919,19.34429144010496,0.4825600729237219,0,0,1,0.0,0.0,0.0081967213114754,0,0.0,0.0,0.0,0
20,2019-04-05 21:45:34,2019-04-08 13:37:41,22.570503,113.863758,2 days 15:52:07,0,1,22.57086720000001,113.8639100727273,8.053429088318548,4.82164456517798,18.9804779709062,0.432929560820547,0,1,2,0.0,0.0078125,0.015625,0,0.0,0.4285714285714285,5.217976269969504,0
20,2019-04-08 23:02:24,2019-04-09 08:18:38,22.57079,113.863823,0 days 09:16:14,1,1,22.57086720000001,113.8639100727273,8.439791109948493,4.712903250262783,19.688241682725195,0.4110239764537844,0,0,4,0.0,0.0,0.0327868852459016,0,0.0,0.5,8.724154957036092,0
20,2019-04-09 19:21:44,2019-04-10 08:38:24,22.570718,113.863863,0 days 13:16:40,2,1,22.57086720000001,113.8639100727273,4.817488376463425,4.201930802950216,16.2291605737158,0.3007450167219758,0,0,5,0.0,0.0,0.0242718446601941,0,0.0,0.1666666666666666,4.914270191616472,0
20,2019-04-11 12:08:13,2019-04-11 13:01:00,22.730848,114.272923,0 days 00:52:47,3,-1,22.730848,114.272923,10.008532793157856,6.4580803940405085,25.575472197276994,0.325519758145556,0,1,37,0.0,0.0005530973451327,0.0204646017699115,55,0.0304203539823008,0.3333333333333333,5.967097911080878,0
20,2019-04-11 16:43:49,2019-04-11 17:39:06,22.559132,113.961618,0 days 00:55:17,3,-1,22.559132,113.961618,10.349363490466413,6.560339009067014,27.40285337642616,0.3494439267982739,0,2,35,0.0,0.0012634238787113,0.0221099178774478,87,0.0549589387239418,0.35,7.087674845971432,0
20,2019-04-15 12:16:13,2019-04-15 16:15:39,22.546655,114.063903,0 days 03:59:26,0,-1,22.546655,114.063903,14.489565058520116,6.310190935819854,23.41064008987197,0.3200268722529124,0,2,6,0.0,0.0065359477124183,0.0196078431372549,7,0.022875816993464,0.0,2.23719772325227,0
20,2019-04-15 16:24:08,2019-04-15 17:44:01,22.545723,114.050008,0 days 01:19:53,0,-1,22.545723,114.050008,5.848068636627668,3.748687425925579,14.16417407972368,0.5190969625102826,0,0,4,0.0,0.0,0.0476190476190476,0,0.0,0.0,0.0,0
20,2019-04-15 18:52:59,2019-04-16 11:44:17,22.570593,113.863868,0 days 16:51:18,1,1,22.57086720000001,113.8639100727273,8.984665389055722,6.3253466497939845,21.48380468573532,0.3206564541171097,0,0,17,0.0,0.0,0.0302491103202846,0,0.0,0.0,4.108117548491515,0
20,2019-04-16 17:05:14,2019-04-16 19:38:30,22.570977,113.863938,0 days 02:33:16,1,1,22.57086720000001,113.8639100727273,5.068530182091302,4.829495595952113,19.43644086923073,0.3252978778750832,0,0,4,0.0,0.0,0.0184331797235023,0,0.0,0.0,3.074459622002908,0
20,2019-04-17 09:16:37,2019-04-17 10:23:33,22.644913,113.857112,0 days 01:06:56,2,2,22.64446116666667,113.85613316666668,9.09798571873618,5.19454748101019,18.28317137798887,0.4402917899015931,0,1,13,0.0,0.0043478260869565,0.0565217391304347,0,0.0,0.5,8.735671325893525,0
20,2019-04-17 10:48:53,2019-04-17 21:43:46,22.569062,113.894973,0 days 10:54:53,2,0,22.56868187804879,113.8951422764228,9.71609646080626,6.589204834066091,22.350605516096657,0.3502320681834895,0,0,3,0.0,0.0,0.0124481327800829,1,0.0041493775933609,0.75,9.19464128348652,0
20,2019-04-18 22:58:29,2019-04-19 14:08:42,22.570908,113.863988,0 days 15:10:13,4,1,22.57086720000001,113.8639100727273,7.011200117123575,4.2371255203653,15.606350158281222,0.3285729422166139,0,0,3,0.0,0.0,0.0188679245283018,0,0.0,0.4,5.936323159618974,0
20,2019-04-19 14:31:13,2019-04-19 19:00:31,22.56915,113.894895,0 days 04:29:18,4,0,22.56868187804879,113.8951422764228,5.662442582392382,4.291661542173077,16.807997297456886,0.3533313001240432,0,0,4,0.0,0.0,0.0231213872832369,0,0.0,0.0,3.37992637821091,0
20,2019-04-19 19:28:42,2019-04-21 10:38:19,22.57101,113.863938,1 days 15:09:37,6,1,22.57086720000001,113.8639100727273,4.446757332242697,3.5237486497860355,13.864902260533553,0.2890556948931467,0,0,5,0.0,0.0,0.0236966824644549,0,0.0,0.0,3.996646785905307,0
20,2019-04-21 12:25:09,2019-04-22 12:47:00,22.570907,113.8639,1 days 00:21:51,0,1,22.57086720000001,113.8639100727273,7.224048753276847,4.855760156630168,16.449696684774118,0.4360442063713792,0,0,1,0.0,0.0,0.0087719298245614,0,0.0,0.1428571428571428,3.363481677624032,0
