userid,checkin_time,lat,lon,speed,direction,acceleration
541,2019-07-15 08:24:04,22.629154,114.112597,0.0,233.62032132390956,3.2431669497369118
541,2019-07-15 08:24:05,22.629137,114.112572,3.2431669497369118,220.1226052848916,-0.0434806016619395
541,2019-07-15 08:24:06,22.629114,114.112551,3.199686348074972,243.29715833161663,0.1033874469285842
541,2019-07-15 08:24:08,22.629088,114.112495,3.4064612419321403,240.0770223920747,0.4764220409016899
541,2019-07-15 08:24:09,22.629071,114.112463,3.88288328283383,247.6083830401408,0.0460546073619341
541,2019-07-15 08:24:11,22.629044,114.112392,3.9749924975576985,247.1531354436989,0.1379836017180933
541,2019-07-15 08:24:13,22.629016,114.11232,4.250959700993885,251.2538318219279,0.196196879201993
541,2019-07-15 08:24:15,22.62899,114.112237,4.643353459397871,257.0193999502975,0.0709245483779472
541,2019-07-15 08:24:16,22.62898,114.11218999999998,4.714278007775818,259.9977134997651,-0.2384256933572262
541,2019-07-15 08:24:17,22.628973,114.112147,4.475852314418592,254.1587819912781,-0.1484371783986291
541,2019-07-15 08:24:19,22.628951,114.112063,4.178977957621334,228.3328509302154,-0.8736349815206212
541,2019-07-15 08:24:20,22.628928,114.112035,3.3053429761007127,240.6406448873424,-0.2471794721291169
541,2019-07-15 08:24:22,22.62890100000001,114.111983,2.810984031842479,244.28858451529757,-0.1066646568977127
541,2019-07-15 08:24:24,22.628881,114.111938,2.5976547180470533,246.3479385538184,-0.0873035056602316
541,2019-07-15 08:24:26,22.628862,114.111891,2.42304770672659,240.16284676197157,-0.5125120299024535
541,2019-07-15 08:24:27,22.628853,114.111874,1.9105356768241368,252.3256131970466,-0.0793056531868319
541,2019-07-15 08:24:28,22.628848,114.111857,1.8312300236373047,252.32561379128865,0.0689834153886563
541,2019-07-15 08:24:29,22.628843,114.11184,1.900213439025961,260.2927294948906,-0.1327544280204211
541,2019-07-15 08:24:30,22.62884,114.111821,1.76745901100554,252.53973330871733,-0.0411328212493938
541,2019-07-15 08:24:32,22.628831,114.11178999999998,1.6851933685067522,248.9715658941396,-0.1710176568644013
541,2019-07-15 08:24:34,22.62882,114.111759,1.3431580547779496,250.1435972277447,-0.3451670102870336
541,2019-07-15 08:24:36,22.628814,114.111741,0.6528240342038822,155.22627800956934,-0.4895367654864557
541,2019-07-15 08:24:37,22.628812,114.111742,0.1632872687174264,234.16057810577303,0.1472601768870142
541,2019-07-15 08:24:39,22.62881,114.111739,0.4578076224914549,256.9298637486084,0.0624847026601926
541,2019-07-15 08:24:41,22.628807,114.111725,0.5827770278118403,325.3065915115252,-0.2046285650020363
541,2019-07-15 08:24:42,22.628811,114.111722,0.3781484628098039,247.8892533422615,0.1324711550243546
541,2019-07-15 08:24:44,22.628808,114.111714,0.6430907728585132,257.7741079914291,-0.3157233613349284
541,2019-07-15 08:24:45,22.628806,114.111704,0.3273674115235848,89.99999921027506,0.2728294417182442
541,2019-07-15 08:24:46,22.628806,114.111708,0.600196853241829,71.5639305332528,-0.113628570535757
541,2019-07-15 08:24:48,22.62881,114.111721,0.3729397121703149,0.0,-0.0446641857635907
541,2019-07-15 08:24:50,22.628812,114.111721,0.2836113406431335,264.3750103785027,0.1037198750954219
541,2019-07-15 08:24:52,22.628811,114.11171000000002,0.4910510908339773,317.2924703946429,0.1693021767038763
541,2019-07-15 08:24:54,22.628818,114.111703,0.8296554442417301,309.64125420587885,0.115681106016376
541,2019-07-15 08:24:56,22.628831,114.111686,1.0610176562744822,304.10301301023435,0.017455913495078
541,2019-07-15 08:24:58,22.628841,114.11167,1.0959294832646382,291.50271484279165,-0.0029316425747434
541,2019-07-15 08:25:00,22.628849,114.111648,1.0900661981151514,337.69511110726506,-0.0472568388924288
541,2019-07-15 08:25:01,22.628858,114.111644,1.0428093592227226,313.196588013053,-0.2174935614277373
541,2019-07-15 08:25:03,22.628871,114.111629,0.607822236367248,328.3941756709184,-0.1373264917942157
541,2019-07-15 08:25:07,22.628883,114.111621,0.0585162691903852,292.11076073918366,-0.0011427422911349
541,2019-07-15 08:25:43,22.628886,114.111613,0.0173775467095266,0.0,0.0506936962702553
541,2019-07-15 08:25:58,22.628886,114.111613,0.7777829907633568,324.25442260129665,0.0040026114116786
541,2019-07-15 08:27:19,22.629431,114.11118799999998,1.1019945151093282,288.9905071315355,5.441049567104952
541,2019-07-15 08:27:20,22.629485,114.111018,6.54304408221428,80.24229216225024,1.519696743555892
