quantile,trips_per_month,ratio_stay_time_in_home,trip_length,rg_time,rg_quantity,shopping,recreation,restaurant,ratio_of_uninterested_trips,rg4/rg_quantity,k_quantity,random_entropy,location_entropy,OD_entropy,sequence_entropy,distance_from_home_entropy,speed_std_mean,speed_mean_std,speed_std_max,acceleration_std_max,harsh_shift_ratio_std,harsh_steering_ratio_std,harsh_shift_ratio_mean,harsh_steering_ratio_mean,speed_mean,speed_max,over_speed_ratio,over_speed_quantity,junction_over_speed,junction_speed_mean,day_entropy,datetime_entropy,extroversion,openness,neuroticism,conscientiousness
0,0.26966886367074777,0.06023347508317765,0.23942263213541365,0.20863737929422896,0.20527758577857821,0.33747917020536894,0.19794105964634265,0.23665006605178823,0.2642517931965329,0.2075030340463441,0.43467194473763104,0.06143782998621166,0.08954617400830966,0.04297099619656953,0.0754604252196289,0.09420048112949443,0.04442870301730746,0.10932911419293222,0.08429680454830213,0.1940868102612587,0.17572919116449875,0.1932923663678284,0.1643409591041025,0.23784780382337017,0.0418098417172241,0.07034859394540141,-0.009864925027905092,-0.009947678802897483,0.03883165460583542,0.029806919699152598,0.14945742339540774,0.1566166272946498,2.3260880734944323,1.5472649957066107,2.08160404502282,1.2411400426078862
0.27,0.4021181332077064,0.37375836873808727,0.40208687949745914,0.3983243211957286,0.400880568512356,0.428388620340878,0.38703782315520574,0.3966810395448426,0.41280150588801345,0.3757253301008662,0.44467194473763105,0.39066203710391323,0.38359371167677947,0.3847219227336155,0.38570368268922595,0.37634216894368155,0.39420094457717064,0.37854730440970136,0.389895922144621,0.4078101746110146,0.4065224974284566,0.4060378859996284,0.40211450772449264,0.4103782393743193,0.392564718599867,0.38913558933687714,0.3553482811059209,0.3550744100786209,0.389393561184312,0.39066037983032575,0.39571247306080565,0.40181030011792973,3.6804068551135036,3.496400156497171,3.580955846681348,3.383168316325708
0.73,0.6247025606059987,0.6007413674546952,0.6240552624058258,0.6236121458767397,0.625425879728475,0.6426607170850354,0.6096407179557349,0.6200363369744465,0.631827030613183,0.6066539166427591,0.6607563687658172,0.617565181132674,0.6080214709107642,0.6081267800976473,0.6040274341941699,0.6028213607997788,0.6180364248484191,0.6083033141994296,0.6165058075148834,0.6303012594507361,0.6307807438502816,0.6231960450902062,0.6224099513621125,0.6341347354323539,0.6077220044975538,0.6110393269838998,0.5837375906356407,0.5793800291694404,0.6087272338235261,0.6129934524306446,0.6189274056125147,0.6258956183313301,4.640232069575265,4.689015859115452,4.628422581278388,4.492276038485085
1,0.9935775855727751,0.840214873649763,0.9531773557943896,0.988968003575716,0.9699723611073476,1.0099998309311786,0.9794387264136611,1.0011702323745846,0.9807320983447716,0.7436950629766216,1.0061489676440696,0.9744588261117415,0.9859849824957622,0.9372756713848647,0.9879986589578403,0.8881037094252526,0.9594127545774483,0.9554673386920753,1.0081221147204225,1.0006244626040308,1.009823555355141,1.0073812234641086,0.9899862651049388,1.0064193975791853,0.9715763627888323,0.9504209062686836,0.6661717407370016,0.6459741314409515,0.8923317822086876,0.9772529894133976,1.0014549413414706,0.9278298065150579,6.066928739406023,7.018281015597734,6.891396752366065,6.341271699427196
