name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,3,266992397,,,0,,,,114.10450379999999,22.5405032,,,
,54,267602126,,,0,,,,114.13313570000001,22.5504326,,,
,139,277058176,,,0,,,,114.2441707,22.5841595,,,
,179,277323371,,,0,,,,113.92272709999999,22.525331,,,
,180,277323374,,,0,,,,113.92253020000001,22.5244919,,,
,181,277323379,,,0,,,,113.9230146,22.5225372,,,
,196,277323707,,,0,,,,113.8348789,22.7384913,,,
,197,277323719,,,0,,,,113.8147035,22.745266600000004,,,
,198,277323720,,,0,,,,113.8141328,22.7452751,,,
,201,277328459,,,0,,,,113.8567358,22.609421899999997,,,
,204,277328557,,,0,,,,113.85845800000001,22.610612600000003,,,
,205,277328568,,,0,,,,113.85745220000001,22.611666,,,
,213,277336335,,,0,,,,113.80117479999998,22.6706294,,,
,228,277336766,,,0,,,,113.8858627,22.5759061,,,
,230,277336810,,,0,,,,113.8771047,22.584694199999998,,,
,238,277485955,,,0,,,,113.81437050000001,22.650189800000003,,,
,239,277485956,,,0,,,,113.815176,22.648725100000004,,,
,240,277485961,,,0,,,,113.81902079999999,22.6467559,,,
,281,277665082,,,0,,,,114.074178,22.5429582,,,
,283,277665242,,,0,,,,114.0792696,22.5440548,,,
,294,277667938,,,0,,,,114.0704258,22.5518402,,,
,295,277667939,,,0,,,,114.0700098,22.5518383,,,
,307,277933349,,,0,,,,114.06819099999998,22.5360075,,,
,322,277937965,,,0,,,,113.81460929999999,22.7154693,,,
,328,277944773,,,0,,,,113.7706108,22.736299300000002,,,
,330,277944806,,,0,,,,113.77554180000001,22.7367961,,,
,396,278660702,,,0,,,,113.9341351,22.545525,,,
,419,279077618,,,0,,,,113.9116358,22.5258365,,,
,420,279077620,,,0,,,,113.9127961,22.5261345,,,
,421,279077621,,,0,,,,113.91594599999999,22.527196,,,
,462,294966588,,,0,,,,113.8994868,22.4809982,,,
,472,294966811,,,0,,,,113.9300666,22.4848728,,,
,483,294986739,,,0,,,,114.08549450000001,22.5455674,,,
,484,294986741,,,0,,,,114.0868836,22.545398300000002,,,
,488,295526887,,,0,,,,114.02487260000001,22.5566535,,,
,489,295526893,,,0,,,,114.02517879999999,22.557764000000002,,,
,491,295526981,,,0,,,,114.0272038,22.5581292,,,
,500,295556464,,,0,,,,113.87266389999999,22.590112100000002,,,
,501,295803575,,,0,,,,114.07486829999999,22.5313879,,,
,502,295803578,,,0,,,,114.0748854,22.5306383,,,
,506,295803678,,,0,,,,114.072176,22.5305884,,,
,516,297120990,,,0,,,,113.9143614,22.4894419,,,
,542,297383885,,,0,,,,114.0510898,22.5672406,,,
,546,310170186,,,0,,,,114.04152579999999,22.5271703,,,
,547,310170187,,,0,,,,114.04086570000001,22.5271607,,,
