name,t,pvalue,cohen-d
Average speed,27.272178261645372,7.601639825588789e-89,2.8827588181709887
Average of maximum speed,27.039785922701483,2.5875832972772754e-88,2.8581941846481853
Average ratio of speeding points,27.15440306061663,5.205617815530023e-75,2.870309592587679
Average number of speeding points,25.62824248993429,1.0376456777306673e-69,2.7089894075672265
Intersection's average ratio of speeding points,18.70524066195802,1.3073049999207815e-54,1.977205375637523
Intersection's average speed,20.55946419119838,5.16344971192339e-62,2.173202892905705
Time-of-day entropy,9.054792841129785,1.074003635681576e-17,0.9571213439224422
Date-time entropy,8.90182674020139,3.2659985994827884e-17,0.9409523246346531
