name,t,pvalue,cohen-d
Average standard deviation of speed,8.566218319801782,4.2977507304376015e-16,0.9054774122870747
standard deviation of Average speed,13.8193670456069,6.711943859188287e-35,1.4607524866574912
Maximum standard deviation of speed,12.941254206035,1.4250212904469764e-31,1.3679330753387733
Maximum standard deviation of acceleration,17.221539262271715,2.3757523153409547e-47,1.8203732644491928
Standard deviation ratio of harsh shift points,23.827483559492883,1.9362289630362735e-68,2.5186432739974425
Standard deviation ratio of harsh steering points,18.873950565928762,1.4681924228211577e-53,1.9950385666176664
Average ratio of harsh shift points,17.420294274374054,4.395686819012072e-49,1.8413823220424943
Average ratio of harsh steering points,14.522552540888956,4.1059060405969e-37,1.5350815031330525
