name,t,pvalue,cohen-d
Trips per month,5.321605182843312,1.828209209291782e-07,0.5625111467257055
Ratio of stay time at home,15.128028590268238,1.6762057291629806e-39,1.599082310248419
Trip length,24.59020262539326,8.837195577187629e-74,2.5992651844263452
Time-weighted radius of gyration,24.769979129941976,3.868859796825393e-77,2.618268151436011
Radius of gyration,24.02788634365236,6.550841931750415e-74,2.5398265065093177
Average importance of shopping POI,14.151794106471124,1.0066538175317748e-34,1.4958911188529522
Average importance of recreation POI,10.704433982694592,2.311432070537416e-23,1.1314938308591236
Average importance of restaurant POI,11.494997707607093,3.904734676607718e-26,1.2150590132018455
